,review_text,sentiment_label,review_id,customer_id
28,buffalo bills jerky is by far the best jerky ever i have ever had i made it point to review it to let every one know i was alittle worried bout getting food from somewhere like amazon but man its awsome tyvm buffalo bills,positive,38367,264555
29,We love this Stevia as it is one of the only ones we have found that does not have dextrose or anything else as filler,positive,51394,234763
30,the popcorn tastes ok when your lucky enough to get handfull of it thats not stale its kinda sad 24 packs of stale popcorn and many unpoped kernals,neutral,29410,84587
31,Strong coffee at the right price the one cups work just as well as the k cups do for a lot less money,positive,83049,352089
32,I bought this item for a christmas gift for my grandaughter and so we haveent used it as of yet but the speed in delivery and cost was great,positive,120699,20211
33,Try this product on prepared warmed popcorn as a snack the earthiness of the truffle butter compliments the popcorn very well,positive,52764,658
34,as i do not eat dog treat all i can say is my dog seemed to enjoy them very much,positive,112765,173764
35,THESE ARE FOR MY FOUR CATS THEY JUST GO WILD FOR THEM ALL I HAVE TO DO IS JUST SHAKE THE BAG AND ALL FOUR COME RUNNING,positive,39767,672955
36,you realy cant beat the deal on coffee they offer a great product at a great price it realy cant be beat the delivery was awesome we have made several orders and ty for the great job,positive,109209,45132
37,i love tazo teas i dont really like friuty ones but this one is okay it is tart so i have to over sweeten it its not one ove my favs,positive,108437,465602
38,THESE CORN KERNELS ARE VERY VERY SMALL AND WHEN POPPED WILL RESULT IN SMALL POPPED CORN WHICH IS NOT GOOD FOR CHILDREN AND WILL NOT POP IN A HOT AIR POPPER,neutral,123801,696001
39,i love this tea for dieting its the best i will always purchase this tea for me and my family,positive,19294,251068
40,it is great to have sugar free koolaid available you cannot find it in grocery stores i get tired of plain water to drink so this is a great drink option being diabetic variety is important this fills the bill so to speak,positive,106552,40587
41,this coffee has a very funny taste to it not good you would think wolfgang it would be good dont buy this coffee this is a review of 6 people there are 6 people in my shop we all hate it not good,negative,9388,203601
42,I have enjoyed Pop Chips for over a year now and am now purchasing them by the box with a monthly shipment from Amazon,positive,30981,664885
43,i put it in a glass jar for chow watmore ken i talk about it is pink salt i resifet it fest,neutral,67136,680604
44,i put it in a glass jar for chow watmore ken i talk about it is pink salt i resifet it fest,neutral,59944,429286
45,I like the robust flavor of Emerils coffee and it has enough flavor to give a good cup of coffee in the 10 oz size of my keurig machine,positive,14675,684219
46,Mystic Chai Spiced Tea Mix has not been available here and I was very happy to once again be able to enjoy it,positive,109606,749375
47,I have been taking this tea twice per day and I am enjoying the way I feel,neutral,116064,94505
48,couldnt find schwepps bitter lemon any where so i tryed the fever tree bitter lemons this is great stuff,positive,112061,112032
49,plant came in perfect condition now its up to me to nourish and not assasinate the little innocent and to watch it grow,positive,117079,289021
50,I was looking for a smooth robust coffee and I have found it with the Black Tiger,positive,107587,682978
51,Wonderful flavor would purchase this blend of coffee again light flavor not bitter at all and price was great the best I found anywhere,positive,9087,589892
52,Great product our dog is loving a tasting treat that is good for her 14 year old bones,positive,32448,571716
53,I ordered a box of power bar energy gels and the expiration date was only 8 months from the date of purchase,negative,106756,350862
54,Try this product on prepared warmed popcorn as a snack the earthiness of the truffle butter compliments the popcorn very well,positive,79090,531249
55,maybe i should not have ordered two because i was eating these things non stop for about two weeks and now i have to take a break,positive,117336,934716
56,they arrived on time but dont quite melt as advertised required much stiring and left something of a sludge at the bottom of the cup,neutral,24573,420521
